audiobook_id,title,author,narrator,summary,audiobook_link,length,release_date,price
/pd/Friend,"Friends, Lovers, and the Big Terrible Thing",Matthew Perry,Matthew Perry,"The beloved star of Friends takes us behind the scenes of the hit sitcom and his struggles with addiction in this candid, funny, and revelatory memoir that delivers a powerful message of hope and persistence. In an extraordinary story that only he could tell, Matthew Perry takes listeners onto the soundstage of the most successful sitcom of all time while opening up about his private struggles with addiction. Candid, self-aware, and told with his trademark humor, Perry vividly details his lifelong battle with the disease and what fueled it despite seemingly having it all.",/pd/Friends-Lovers-and-the-Big-Terrible-Thing-Audiobook/B09RQ4HRHN, 8 hrs and 49 mins,11-01-22,$25.51
/pd/It-Sta,It Starts with Us,Colleen Hoover,"Colin Donnell, Olivia Song","Lily and her ex-husband, Ryle, have just settled into a civil coparenting rhythm when she suddenly bumps into her first love, Atlas, again. After nearly two years separated, she is elated that for once, time is on their side, and she immediately says yes when Atlas asks her on a date. But her excitement is quickly hampered by the knowledge that, though they are no longer married, Ryle is still very much a part of her life—and Atlas Corrigan is the one man he will hate being in his ex-wife and daughter’s life.",/pd/It-Starts-with-Us-Audiobook/B09SBP7MWN, 8 hrs and 41 mins,10-18-22,$23.62
/pd/Fairy-,Fairy Tale,Stephen King,"Seth Numrich, Stephen King","Charlie Reade looks like a regular high school kid, great at baseball and football, a decent student. But he carries a heavy load. His mom was killed in a hit-and-run accident when he was 10, and grief drove his dad to drink. Charlie learned how to take care of himself—and his dad. Then, when Charlie is 17, he meets a dog named Radar and his aging master, Howard Bowditch, a recluse in a big house at the top of a big hill, with a locked shed in the backyard. Sometimes strange sounds emerge from it.",/pd/Fairy-Tale-Audiobook/B09R62PV4B, 24 hrs and 6 mins,09-06-22,$26.90
/pd/Im-Gla,I&apos;m Glad My Mom Died,Jennette McCurdy,Jennette McCurdy,"Jennette McCurdy was six years old when she had her first acting audition. Her mother’s dream was for her only daughter to become a star, and Jennette would do anything to make her mother happy. So she went along with what Mom called “calorie restriction,” eating little and weighing herself five times a day. She endured extensive at-home makeovers while Mom chided, “Your eyelashes are invisible, okay? You think Dakota Fanning doesn’t tint hers?” She was even showered by Mom until age sixteen while sharing her diaries, email, and all her income.",/pd/Im-Glad-My-Mom-Died-Audiobook/B09VHWHJS2, 6 hrs and 26 mins,08-09-22,$13.99
/pd/The-Bo,The Boys from Biloxi,John Grisham,Michael Beck,,/pd/The-Boys-from-Biloxi-Audiobook/B09ZMX3NJ2, 17 hrs and 22 mins,10-18-22,$35.00
/pd/Atomic,Atomic Habits,James Clear,James Clear,"No matter your goals, Atomic Habits offers a proven framework for improving - every day. James Clear, one of the world's leading experts on habit formation, reveals practical strategies that will teach you exactly how to form good habits, break bad ones, and master the tiny behaviors that lead to remarkable results. If you're having trouble changing your habits, the problem isn't you. The problem is your system. Bad habits repeat themselves again and again not because you don't want to change, but because you have the wrong system for change.",/pd/Atomic-Habits-Audiobook/1524779261, 5 hrs and 35 mins,10-16-18,$16.72
/pd/It-End,It Ends with Us,Colleen Hoover,Olivia Song,"Lily hasn’t always had it easy, but that’s never stopped her from working hard for the life she wants. She’s come a long way from the small town where she grew up—she graduated from college, moved to Boston, and started her own business. And when she feels a spark with a gorgeous neurosurgeon named Ryle Kincaid, everything in Lily’s life seems too good to be true.",/pd/It-Ends-with-Us-Audiobook/B01GGKQVFU, 11 hrs and 11 mins,08-02-16,$13.49
/pd/The-Tr,The Trump Tapes,Bob Woodward,"Donald J. Trump, Bob Woodward","Featuring more than eight hours of Woodward/Trump conversations, The Trump Tapes is as historically important as the Frost/Nixon interviews. In this up-close, unvarnished self-portrait of Trump and his presidency, listeners will hear Trump as Woodward did: profane, incautious, divisive, and deceptive, but also engaging and entertaining, ever the host and the salesman, trying to sell his presidency to win Woodward over.",/pd/The-Trump-Tapes-Audiobook/B0BJH3XL5Y, 11 hrs and 29 mins,10-24-22,$23.62
/pd/Fire-B,Fire &amp; Blood (HBO Tie-in Edition),George R. R. Martin,Simon Vance,"Centuries before the events of A Game of Thrones, House Targaryen - the only family of dragonlords to survive the Doom of Valyria - took up residence on Dragonstone. Fire & Blood begins their tale with the legendary Aegon the Conqueror, creator of the Iron Throne, and goes on to recount the generations of Targaryens who fought to hold that iconic seat, all the way up to the civil war that nearly tore their dynasty apart.",/pd/Fire-Blood-Audiobook/B07CL3F5H2, 26 hrs and 24 mins,11-20-18,$27.44
/pd/Going-,Going Rogue,Janet Evanovich,Lorelei King,"Monday mornings aren’t supposed to be fun, but they should be predictable. However, on this particular Monday, Stephanie Plum knows that something is amiss when she turns up for work at Vinnie’s Bail Bonds to find that longtime office manager Connie Rosolli, who is as reliable as the tides in Atlantic City, hasn’t shown up. Stephanie’s worst fears are confirmed when she gets a call from Connie’s abductor. He says he will only release her in exchange for a mysterious coin that a recently murdered man left as collateral for his bail. But this coin is nowhere to be found.",/pd/Going-Rogue-Audiobook/B09TTPJVSF, 8 hrs and 8 mins,11-01-22,$18.89
/pd/No-Pla,No Plan B,"Lee Child, Andrew Child",Scott Brick,"In Gerrardsville, Colorado, a woman dies under the wheels of a moving bus. The death is ruled a suicide. But Jack Reacher saw what really happened: A man in a gray hoodie and jeans, moving stealthily, pushed the victim to her demise—before swiftly grabbing the dead woman’s purse and strolling away. When another homicide is ruled an accident, Reacher knows this is no coincidence. With a killer on the loose, Reacher has no time to waste to track down those responsible.",/pd/No-Plan-B-Audiobook/B09PNTZFFY, 11 hrs and 3 mins,10-25-22,$35.00
/pd/Surren,Surrender,Bono,Bono,"As one of the music world’s most iconic artists and the cofounder of the organizations ONE and (RED), Bono’s career has been written about extensively. But in Surrender, it’s Bono who picks up the pen, writing for the first time about his remarkable life and those he has shared it with. In his unique voice, Bono takes us from his early days growing up in Dublin, including the sudden loss of his mother when he was fourteen, to U2’s unlikely journey to become one of the world’s most influential rock bands, to his more than twenty years of activism.",/pd/Surrender-Audiobook/B09ZK5B962, 20 hrs and 25 mins,11-01-22,$45.50
/pd/Verity,Verity,Colleen Hoover,"Vanessa Johansson, Amy Landon","Lowen Ashleigh is a struggling writer on the brink of financial ruin when she accepts the job offer of a lifetime. Jeremy Crawford, husband of best-selling author Verity Crawford, has hired Lowen to complete the remaining books in a successful series his injured wife is unable to finish. Lowen arrives at the Crawford home, ready to sort through years of Verity's notes and outlines, hoping to find enough material to get her started. What Lowen doesn't expect to uncover in the chaotic office is an unfinished autobiography Verity never intended for anyone to read.",/pd/Verity-Audiobook/B07Q769RZS, 8 hrs and 10 mins,05-07-19,$19.95
/pd/Where-,Where the Crawdads Sing,Delia Owens,Cassandra Campbell,"For years, rumors of the Marsh Girl have haunted Barkley Cove, a quiet town on the North Carolina coast. So in late 1969, when handsome Chase Andrews is found dead, the locals immediately suspect Kya Clark, the so-called Marsh Girl. But Kya is not what they say. Sensitive and intelligent, she has survived for years alone in the marsh that she calls home, finding friends in the gulls and lessons in the sand.",/pd/Where-the-Crawdads-Sing-Audiobook/B07FSNSLZ1, 12 hrs and 12 mins,08-14-18,$17.92
/pd/The-Sa,The Sandman: Act III,"Neil Gaiman, Dirk Maggs","Neil Gaiman, James McAvoy, K.J. Apa, and others","In Act III, we follow Morpheus on a grand journey to take care of family business. He visits with his son Orpheus (Regé-Jean Page), an act that brings with it profound consequences. Accompanied by Delirium (Kristen Schaal), he tracks down their estranged brother, Destruction (David Harewood), the only member of the Endless ever to abandon their post. And at an inn at the intersection of all worlds, a group of travelers are forced together by a storm that threatens to destroy reality itself, with grave repercussions for Morpheus and the rest of the Endless.",/pd/The-Sandman-Act-III-Audiobook/B0BFK1K36D, 11 hrs and 32 mins,09-28-22,$34.95
/pd/12-Rul,12 Rules for Life,"Jordan B. Peterson, Norman Doidge MD - foreword",Jordan B. Peterson,,/pd/12-Rules-for-Life-Audiobook/B0797YBP7N, 15 hrs and 40 mins,01-23-18,$23.90
/pd/Mad-Ho,Mad Honey,"Jodi Picoult, Jennifer Finney Boylan","Carrie Coon, Key Taw, Jodi Picoult, and others","Olivia McAfee knows what it feels like to start over. Her picture-perfect life—living in Boston, married to a brilliant cardiothoracic surgeon, raising their beautiful son, Asher—was upended when her husband revealed a darker side. She never imagined that she would end up back in her sleepy New Hampshire hometown, living in the house she grew up in and taking over her father’s beekeeping business. Lily Campanello is familiar with do-overs, too. When she and her mom relocate to Adams, New Hampshire, for her final year of high school, they both hope it will be a fresh start.",/pd/Mad-Honey-Audiobook/B09QQVK1QV, 15 hrs and 12 mins,10-04-22,$35.00
/pd/A-Perf,The Perfect Neighborhood,Liz Alterman,"Amanda Dolan, Priya Ayyar, Hillary Huber, and others",,/pd/A-Perfect-Neighborhood-Audiobook/B09VTFFF1D, 10 hrs and 29 mins,07-14-22,$41.99
/pd/Greenl,Greenlights,Matthew McConaughey,Matthew McConaughey,"I’ve been in this life for 50 years, been trying to work out its riddle for 42, and been keeping diaries of clues to that riddle for the last 35. Notes about successes and failures, joys and sorrows, things that made me marvel, and things that made me laugh out loud. How to be fair. How to have less stress. How to have fun. How to hurt people less. How to get hurt less. How to be a good man. How to have meaning in life. How to be more me.",/pd/Greenlights-Audiobook/0593294181, 6 hrs and 42 mins,10-20-20,$18.49
/pd/A-Game,A Game of Thrones,George R.R. Martin,Roy Dotrice,"Winter is coming. Such is the stern motto of House Stark, the northernmost of the fiefdoms that owe allegiance to King Robert Baratheon in far-off King's Landing. There Eddard Stark of Winterfell rules in Robert's name. Far to the north, behind the towering Wall, lie savage Wildings and worse - unnatural things relegated to myth during the centuries-long summer, but proving all too real and all too deadly in the turning of the season. Yet a more immediate threat lurks to the south, where Jon Arryn, the Hand of the King, has died under mysterious circumstances....",/pd/A-Game-of-Thrones-Audiobook/B002UZZ93G, 33 hrs and 46 mins,12-09-03,$36.90
/pd/Cant-H,Can&apos;t Hurt Me,David Goggins,"David Goggins, Adam Skolnick","For David Goggins, childhood was a nightmare--poverty, prejudice, and physical abuse colored his days and haunted his nights. But through self-discipline, mental toughness, and hard work, Goggins transformed himself from a depressed, overweight young man with no future into a US Armed Forces icon and one of the world's top endurance athletes. The only man in history to complete elite training as a Navy SEAL, Army Ranger, and Air Force tactical air controller, he went on to set records in numerous endurance events.",/pd/Cant-Hurt-Me-Audiobook/B07KKMNZCH, 13 hrs and 37 mins,11-28-18,$24.95
/pd/The-Su,The Subtle Art of Not Giving a F*ck,Mark Manson,Roger Wayne,"For decades we've been told that positive thinking is the key to a happy, rich life. F*ck positivity, Mark Manson says. Let's be honest, shit is f*cked, and we have to live with it. In his wildly popular Internet blog, Manson doesn't sugarcoat or equivocate. He tells it like it is - a dose of raw, refreshing, honest truth that is sorely lacking today. The Subtle Art of Not Giving a F*ck is his antidote to the coddling, let's-all-feel-good mind-set that has infected modern society and spoiled a generation, rewarding them with gold medals just for showing up.",/pd/The-Subtle-Art-of-Not-Giving-a-F-ck-Audiobook/B01I28NFEE, 5 hrs and 17 mins,09-13-16,$17.92
/pd/Harry-,"Harry Potter and the Sorcerer&apos;s Stone, Book 1",J.K. Rowling,Jim Dale,"Harry Potter has never even heard of Hogwarts when the letters start dropping on the doormat at number four, Privet Drive. Addressed in green ink on yellowish parchment with a purple seal, they are swiftly confiscated by his grisly aunt and uncle. Then, on Harry's eleventh birthday, a great beetle-eyed giant of a man called Rubeus Hagrid bursts in with some astonishing news: Harry Potter is a wizard, and he has a place at Hogwarts School of Witchcraft and Wizardry. An incredible adventure is about to begin!",/pd/Harry-Potter-and-the-Sorcerers-Stone-Book-1-Audiobook/B017V4IM1G, 8 hrs and 18 mins,11-20-15,$29.99
/pd/Long-S,Long Shadows,David Baldacci,"Kyf Brewer, Orlagh Cassidy",The latest riveting thriller in David Baldacci's #1 New York Times bestselling Memory Man series.,/pd/Long-Shadows-Audiobook/B0B29G6NWN, 12 hrs and 3 mins,10-11-22,$31.93
/pd/Demon-,Demon Copperhead,Barbara Kingsolver,Charlie Thurston,"Demon Copperhead is set in the mountains of southern Appalachia. It’s the story of a boy born to a teenaged single mother in a single-wide trailer, with no assets beyond his dead father’s good looks and copper-colored hair, a caustic wit, and a fierce talent for survival. In a plot that never pauses for breath, relayed in his own unsparing voice, he braves the modern perils of foster care, child labor, derelict schools, athletic success, addiction, disastrous loves, and crushing losses. Through all of it, he reckons with his own invisibility.",/pd/Demon-Copperhead-Audiobook/B09QH6P7X4, 21 hrs and 3 mins,10-18-22,$51.33
/pd/The-Se,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,"Alma Cuervo, Julia Whelan, Robin Miles",,/pd/The-Seven-Husbands-of-Evelyn-Hugo-Audiobook/B072359S7K, 12 hrs and 10 mins,06-13-17,$16.72
/pd/How-to,How to Win Friends &amp; Influence People,Dale Carnegie,Andrew MacMillan,,/pd/How-to-Win-Friends-Influence-People-Audiobook/B002V5BV96, 7 hrs and 15 mins,09-16-04,$16.72
/pd/The-Bo,The Body Keeps the Score,Bessel A. van der Kolk,Sean Pratt,"Trauma is a fact of life. Veterans and their families deal with the painful aftermath of combat; one in five Americans has been molested; one in four grew up with alcoholics; one in three couples have engaged in physical violence. Dr. Bessel van der Kolk, one of the world’s foremost experts on trauma, has spent more than three decades working with survivors. In The Body Keeps the Score, he uses recent scientific advances to show how trauma literally reshapes both body and brain, compromising sufferers’ capacities for pleasure, engagement, self-control, and trust.",/pd/The-Body-Keeps-the-Score-Audiobook/0593412702, 16 hrs and 15 mins,02-16-21,$20.42
/pd/All-Go,All Good People Here,Ashley Flowers,"Brittany Pressley, Karissa Vacker, Ashley Flowers","Everyone from Wakarusa, Indiana, remembers the infamous case of January Jacobs, who was discovered in a ditch hours after her family awoke to find her gone. Margot Davies was six at the time, the same age as January—and they were next-door neighbors. In the twenty years since, Margot has grown up, moved away, and become a big-city journalist. But she’s always been haunted by the feeling that it could’ve been her. And the worst part is, January’s killer has never been brought to justice.",/pd/All-Good-People-Here-Audiobook/B09QQV2DLL, 10 hrs and 35 mins,08-16-22,$16.72
/pd/Discip,Discipline Is Destiny,Ryan Holiday,Ryan Holiday,"To master anything, one must first master themselves–one’s emotions, one’s thoughts, one’s actions. Eisenhower famously said that freedom is really the opportunity to practice self-discipline. Cicero called the virtue of temperance the polish of life. Without boundaries and restraint, we risk not only failing to meet our full potential and jeopardizing what we have achieved, but we ensure misery and shame. In a world of temptation and excess, this ancient idea is more urgent than ever.",/pd/Discipline-Is-Destiny-Audiobook/B09SKSKTQP, 7 hrs and 17 mins,09-27-22,$28.00
/pd/Hebrew,Hebrews to Negroes,Ronald Dalton Jr.,Fentriss Moore,"Since the time the European and Arab slave traders stepped foot into Africa, blacks have been told lies about their heritage. This was all by Satan's design, for he is the father of lies. Since biblical times, there has been a satanic agenda to destroy God's chosen people. This agenda still exists today and is carried on by man in many forms. Satan knows who God's chosen people are, but for centuries, we have been ignorant to this knowledge, even though it's been right in front of our face. After many years of research, the time has finally come for all black people to know the truth.",/pd/Hebrews-to-Negroes-Audiobook/B09KXWLPJG, 36 hrs and 2 mins,11-03-21,$29.95
/pd/Lesson,Lessons in Chemistry,Bonnie Garmus,"Miranda Raison, Bonnie Garmus, Pandora Sykes","Chemist Elizabeth Zott is not your average woman. In fact, Elizabeth Zott would be the first to point out that there is no such thing as an average woman. But it’s the early 1960s and her all-male team at Hastings Research Institute takes a very unscientific view of equality. Except for one: Calvin Evans; the lonely, brilliant, Nobel–prize nominated grudge-holder who falls in love with—of all things—her mind. True chemistry results. But like science, life is unpredictable.",/pd/Lessons-in-Chemistry-Audiobook/0593507533, 11 hrs and 55 mins,04-05-22,$17.92
/pd/Confid,Confidence Man,Maggie Haberman,Maggie Haberman,"Few journalists working today have covered Donald Trump more extensively than Maggie Haberman. And few understand him and his motivations better. Now, demonstrating her majestic command of this story, Haberman reveals in full the depth of her understanding of the 45th president himself, and of what the Trump phenomenon means. In this revelatory and newsmaking book, Haberman brings together the events of his life into a single mesmerizing work. It is the definitive account of one of the most norms-shattering and consequential eras in American political history.",/pd/Confidence-Man-Audiobook/B09S3YRWZV, 17 hrs and 22 mins,10-04-22,$35.00
/pd/Defian,Defiance of the Fall 7,"TheFirstDefier, JF Brink",Pavi Proczko,"The Dimensional Seed is about to mature. The battle for it will decide Earth's fate. Urged on by the System itself, Zac has set his sights on the heart of the Mystic Realm. That's where the Dominators are heading, and it might be where the answers to his bloodline can be found. However, the followers of the Great Redeemer are not the only ones Zac and his companions have to worry about.",/pd/Defiance-of-the-Fall-7-Audiobook/B0BHJM2G38, 23 hrs and 3 mins,10-26-22,$29.95
/pd/And-Th,And There Was Light,Jon Meacham,Jon Meacham,"Hated and hailed, excoriated and revered, Abraham Lincoln was at the pinnacle of American power when secessionists gave no quarter in a clash of visions bound up with money, race, identity, and faith. In him we can see the possibilities of the presidency as well as its limitations. This book tells the story of Lincoln from his birth on the Kentucky frontier to his leadership during the Civil War to his tragic assassination: his rise, his self-education, his loves, his bouts of depression, his political failures, his deepening faith, and his persistent conviction that slavery must end.",/pd/And-There-Was-Light-Audiobook/B09W34YVLL, 17 hrs and 49 mins,10-18-22,$38.50
/pd/Harry-,"Harry Potter and the Chamber of Secrets, Book 2",J.K. Rowling,Jim Dale,"Harry Potter's summer has included the worst birthday ever, doomy warnings from a house-elf called Dobby, and rescue from the Dursleys by his friend Ron Weasley in a magical flying car! Back at Hogwarts School of Witchcraft and Wizardry for his second year, Harry hears strange whispers echo through empty corridors - and then the attacks start. Students are found as though turned to stone... Dobby's sinister predictions seem to be coming true.",/pd/Harry-Potter-and-the-Chamber-of-Secrets-Book-2-Audiobook/B017V4IWVG, 9 hrs and 3 mins,11-20-15,$29.99
/pd/Projec,Project Hail Mary,Andy Weir,Ray Porter,"Ryland Grace is the sole survivor on a desperate, last-chance mission - and if he fails, humanity and the Earth itself will perish. Except that right now, he doesn't know that. He can't even remember his own name, let alone the nature of his assignment or how to complete it. All he knows is that he's been asleep for a very, very long time. And he's just been awakened to find himself millions of miles from home, with nothing but two corpses for company.",/pd/Project-Hail-Mary-Audiobook/B08G9PRS1K, 16 hrs and 10 mins,05-04-21,$29.95
/pd/The-My,The Myth of Normal,"Gabor Maté, Daniel Maté",Daniel Maté,"In this revolutionary book, renowned physician Gabor Maté eloquently dissects how in Western countries that pride themselves on their healthcare systems, chronic illness and general ill health are on the rise. Nearly 70 percent of Americans are on at least one prescription drug; more than half take two. In Canada, every fifth person has high blood pressure. In Europe, hypertension is diagnosed in more than 30 percent of the population. And everywhere, adolescent mental illness is on the rise. So what is really “normal” when it comes to health?",/pd/The-Myth-of-Normal-Audiobook/059340968X, 18 hrs and 12 mins,09-13-22,$35.00
/pd/48-Law,48 Laws of Power,Robert Greene,Richard Poe,,/pd/48-Laws-of-Power-Audiobook/B00WYDJ2YQ, 23 hrs and 6 mins,05-01-15,$14.95
/pd/Harry-,"Harry Potter and the Prisoner of Azkaban, Book 3",J.K. Rowling,Jim Dale,"When the Knight Bus crashes through the darkness and screeches to a halt in front of him, it's the start of another far from ordinary year at Hogwarts for Harry Potter. Sirius Black, escaped mass-murderer and follower of Lord Voldemort, is on the run - and they say he is coming after Harry. In his first ever Divination class, Professor Trelawney sees an omen of death in Harry's tea leaves... But perhaps most terrifying of all are the Dementors patrolling the school grounds, with their soul-sucking kiss.",/pd/Harry-Potter-and-the-Prisoner-of-Azkaban-Book-3-Audiobook/B017V4JA2Q, 11 hrs and 49 mins,11-20-15,$29.99
/pd/Findin,Finding Me,Viola Davis,Viola Davis,,/pd/Finding-Me-Audiobook/B09F4X96MC, 9 hrs and 15 mins,04-26-22,$21.42
/pd/Triple,Triple Cross,James Patterson,"Wayne Carr, Mela Lee, Inger Tudor, and others","Detective Alex Cross hunts down a serial killer who targets entire families—and who will next be coming for the Crosses. A precise killer, he always moves under the cover of darkness, flawlessly triggering no alarms, leaving no physical evidence. Cross and Sampson aren’t the only ones investigating. Also in on this most intriguing case is the world’s bestselling true-crime author, who sees patterns everyone else misses. The writer, Thomas Tull, calls the Family Man murders the perfect crime story. He believes the killer may never be caught.",/pd/Triple-Cross-Audiobook/B09XVJ972Q, 9 hrs and 13 mins,10-31-22,$30.79
/pd/The-Cl,The Cloisters,Katy Hays,Emily Tremaine,"When Ann Stilwell arrives in New York City, she expects to spend her summer working as a curatorial associate at the Metropolitan Museum of Art. Instead, she finds herself assigned to The Cloisters, a gothic museum and garden renowned for its medieval art collection and its group of enigmatic researchers studying the history of divination. Desperate to escape her painful past, Ann is happy to indulge the researchers’ more outlandish theories about the history of fortune telling.",/pd/The-Cloisters-Audiobook/B0B137F4W9, 10 hrs and 16 mins,11-01-22,$22.67
/pd/Beyond,Beyond the Wand,Tom Felton,Tom Felton,"Tom Felton’s adolescence was anything but ordinary. His early rise to fame in beloved films like The Borrowers catapulted him into the limelight, but nothing could prepare him for what was to come after he landed the iconic role of the Draco Malfoy, the bleached blonde villain of the Harry Potter movies. For the next ten years, he was at the center of a huge pop culture phenomenon and yet, in between filming, he would go back to being a normal teenager trying to fit into a normal school. Speaking with great candor and his signature humor, Tom shares his experience.",/pd/Beyond-the-Wand-Audiobook/B0B29G96TX, 6 hrs and 36 mins,10-18-22,$29.65
/pd/Swamp-,Swamp Spirits,Jana DeLeon,Cassandra Campbell,"Fortune is thrilled when Ben Harrison, her former CIA partner, and his fiancée, Cassidy, decide to leave DC and move to the Louisiana bayous. They’ve already secured jobs and are only lacking a place to live, so everyone is excited when they quickly find a home. There’s only one problem—the house has a reputation. It’s haunted.",/pd/Swamp-Spirits-Audiobook/B0BKQZVGBF, 9 hrs and 25 mins,11-01-22,$19.95
