audiobook_id,categories,rating_overall,rating_performance,rating_story
,Arts & Entertainment,4.6,4.7,4.6
,Romance,4.7,4.8,4.6
,"Mystery, Thriller & Suspense",4.8,4.9,4.7
,Biographies & Memoirs,4.9,4.9,4.9
,"Mystery, Thriller & Suspense",4.6,4.7,4.5
,Business & Careers,4.8,4.8,4.8
,Literature & Fiction,4.7,4.7,4.7
,Biographies & Memoirs,4.8,4.8,4.8
,Literature & Fiction,4.5,4.7,4.4
,"Mystery, Thriller & Suspense",4.7,4.8,4.7
,Literature & Fiction,4.4,4.6,4.4
,Biographies & Memoirs,4.9,4.9,4.9
,"Mystery, Thriller & Suspense",4.5,4.6,4.5
,Literature & Fiction,4.8,4.7,4.8
,Science Fiction & Fantasy,4.9,5.0,4.8
,Health & Wellness,4.6,4.7,4.6
,Literature & Fiction,4.7,4.8,4.7
,"Mystery, Thriller & Suspense",4.2,4.3,4.2
,Biographies & Memoirs,4.8,4.9,4.8
,Literature & Fiction,4.8,4.6,4.8
,"Relationships, Parenting & Personal Development",4.9,4.9,4.9
,"Relationships, Parenting & Personal Development",4.5,4.7,4.5
,Children\'s Audiobooks,4.9,4.9,4.9
,Literature & Fiction,4.7,4.8,4.7
,Literature & Fiction,4.8,4.9,4.8
,LGBTQ+,4.6,4.7,4.6
,Business & Careers,4.7,4.7,4.7
,Health & Wellness,4.8,4.8,4.8
,"Mystery, Thriller & Suspense",4.6,4.7,4.5
,Business & Careers,4.8,4.8,4.8
,Religion & Spirituality,4.7,4.6,4.7
,Literature & Fiction,4.7,4.8,4.7
,Biographies & Memoirs,4.7,4.6,4.7
,Science Fiction & Fantasy,4.8,4.9,4.8
,Biographies & Memoirs,4.9,4.9,4.9
,Children\'s Audiobooks,4.9,4.9,4.9
,Science Fiction & Fantasy,4.9,4.9,4.8
,Health & Wellness,4.8,4.7,4.8
,Politics & Social Sciences,4.6,4.7,4.6
,Children\'s Audiobooks,4.9,4.9,4.9
,Biographies & Memoirs,4.9,5.0,4.9
,"Mystery, Thriller & Suspense",4.7,4.7,4.7
,"Mystery, Thriller & Suspense",4.2,4.5,4.2
,Biographies & Memoirs,4.9,4.9,4.9
,"Mystery, Thriller & Suspense",4.9,4.9,4.9
,Science Fiction & Fantasy,4.7,4.8,4.7
,"Relationships, Parenting & Personal Development",4.7,4.7,4.6
,Money & Finance,4.8,4.8,4.8
,Science Fiction & Fantasy,4.5,4.8,4.4
,History,4.8,4.9,4.8
,Literature & Fiction,4.8,4.9,4.8
,Romance,4.7,4.8,4.6
,Education & Learning,4.6,4.5,4.5
,"Mystery, Thriller & Suspense",4.3,4.5,4.3
,Money & Finance,4.6,4.6,4.5
,Science Fiction & Fantasy,4.7,4.8,4.7
,Literature & Fiction,4.8,4.8,4.8
,Literature & Fiction,4.4,4.5,4.4
,Science Fiction & Fantasy,4.5,4.8,4.5
,Science Fiction & Fantasy,4.7,4.9,4.6
,Science Fiction & Fantasy,4.4,4.6,4.4
,Teen & Young Adult,4.6,4.6,4.6
,Literature & Fiction,4.6,4.6,4.7
,Science Fiction & Fantasy,4.8,4.9,4.8
,Health & Wellness,4.8,4.9,4.8
